step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,228.87278747558594,219.980224609375,88.92568969726562,211.45916593286915,202.62367802412908,88.35488003768107,281,1,211.45916593286915,2000,0,6.456042289733887,60.0907506942749
4000,2,200.03811645507812,192.6049041748047,74.33218383789062,199.5227984228168,191.5959544606056,79.26843992077158,281,1,199.5227984228168,4000,0,5.958887338638306,117.00642943382263
6000,3,208.4803009033203,199.45018005371094,90.30116271972656,196.04002597578057,187.96042793246775,80.79598097614546,281,1,196.04002597578057,6000,0,5.994608402252197,174.2161889076233
8000,4,205.92681884765625,196.79208374023438,91.347412109375,192.45297542585598,184.26843685272326,81.84538407512407,281,1,192.45297542585598,8000,0,5.78599739074707,230.9489369392395
10000,5,186.94247436523438,178.53021240234375,84.12255096435547,186.70144832516056,177.97870435069888,87.22744248685463,281,1,186.70144832516056,10000,0,6.076558828353882,289.0993218421936
12000,6,168.8665313720703,160.42800903320312,84.3852767944336,184.06015345889054,174.8159258153515,92.44227847170575,281,1,184.06015345889054,12000,0,5.870695352554321,346.04797625541687
