run_name,split,shape_class,source_csv,mean_norm_l2,diag_mae,offdiag_mean_abs_corr,eig_ratio,kl_moment_to_std_normal,w2_moment_to_std_normal,eig_log_abs,n01_abs_gap,z_kl,z_w2,z_diag,z_eig_log_abs,n01_robust_gap,n01_similarity
lsv_stage1_vae_base_ld64_b0p1_s42,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_selected_beta0p1_s42/latent_shape_summary.csv,0.0770783361089272,0.016758377693719198,0.005720293031828573,1.5939713899561543,0.06245095834663905,0.06948441449548422,0.46622863162234973,0.2568717195945703,-1.131123445753873,-1.3947603975233913,-0.7147114458624215,-0.619909638495651,-3.038216975832388,0.95427108498838
lsv_stage2_vae_base_ld64_b0p1_s42,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.39930909366536144,0.006512036227722956,0.0017837834818142091,1.1837446941235765,0.08613133458007949,0.1659728050175055,0.16868288324713537,0.29753087852323035,-0.9489480033446038,-0.8808952471994346,-1.2249517474719764,-1.5026952004624716,-2.8179929243956447,0.9436404187630206
lsv_stage2_vae_base_ld64_b0p1_s44,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.43729416919050684,0.006087561782488831,0.0027430936042613647,1.260889061433257,0.10873208087240749,0.20472934806064363,0.23181707645381233,0.3744594789377486,-0.7750782593001565,-0.6744907594765952,-1.2460894354633993,-1.3153829819763383,-2.4014594820025357,0.9169385286210386
lsv_stage2_vae_base_ld64_b0p1_s43,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.362910564652748,0.009255024738925645,0.00745271576080905,1.655363233202231,0.1348897358787476,0.20615367394398948,0.5040204610027609,0.4716760374428901,-0.5738448698390671,-0.6669052724537935,-1.0883582823886297,-0.507785430640159,-1.9118756411472153,0.8712297197697032
lsv_stage2_vae_base_ld64_b0p1_s43_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.41655748279620314,0.03842421517029307,0.0012227413856149125,1.183174488402008,0.12180711342729955,0.20819210508032596,0.16820107065563744,0.39126159375668135,-0.6744907594765952,-0.6560492646311787,0.3641891046762583,-1.5041246855136636,-1.5244766431480608,0.8211967433840297
lsv_stage3_vae_base_ld32_fmtB_b0p1_lmax6_s44,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.3185689573304927,0.051758238007611465,0.009004257558291462,1.8215867783574184,0.12678149076764716,0.17930495438546476,0.5997079774831565,0.48189255852770674,-0.6362223897617273,-0.8098926436525938,1.0281876505729062,-0.22389107667737196,-0.9879939772972111,0.7286915132660001
lsv_stage2_vae_base_ld64_b0p1_s48_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.47077626649909676,0.031110786746593438,0.004304157731669832,1.5649155909730323,0.1668114426448689,0.2799426419938505,0.4478318870570557,0.5742674497762801,-0.32826806838753825,-0.273929713901621,0.0,-0.6744907594765952,-0.7708204721583081,0.6836983516100619
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s43,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.39107196328115024,0.022975788119571502,0.022661363592330286,1.9280210128962534,0.19260807804565028,0.2792130982437815,0.656494094934073,0.6474325940827357,-0.1298120379393606,-0.27781502183109213,-0.40510109552955526,-0.055412901877153656,-0.6240308330045189,0.6511347426086117
lsv_stage2_vae_base_ld64_b0p1_s49_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.4102112757968459,0.01878723867645736,0.0092948762002828,2.0025224886425788,0.20948191053031506,0.3040396397508471,0.6944076301807531,0.696517077164579,0.0,-0.14559709991808642,-0.6136796148238367,0.05707239391905216,-0.43816880885024173,0.6078226081560707
lsv_stage3_vae_base_ld32_fmtB_b0p1_lmax6_s43,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.5189763276143814,0.026104699710821525,0.013626112921447237,1.6567338040518569,0.19392627813495944,0.33137838772181477,0.5048480762039103,0.6645690347631625,-0.1196709961718437,0.0,-0.24928969696088402,-0.5053299872186734,-0.370648341456954,0.5916156312917528
