step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,212.7683868408203,202.62237548828125,101.46012878417969,201.4552187936586,191.07790725002084,103.7731141331357,281,1,201.4552187936586,2000,0,6.51171875,51.46435618400574
4000,2,203.10675048828125,191.83975219726562,112.67001342773438,188.56077741303903,177.88113927332108,106.79638240176163,281,1,188.56077741303903,4000,0,6.012488603591919,100.1323721408844
6000,3,212.1000518798828,201.5609130859375,105.39142608642578,184.9453370443867,174.62449322900738,103.20844295949698,281,1,184.9453370443867,6000,0,5.681319236755371,149.25131249427795
8000,4,175.79025268554688,164.9188232421875,108.71437072753906,181.7628348136712,170.46342883670033,112.99405966110501,281,1,181.7628348136712,8000,0,5.931768894195557,196.70975160598755
10000,5,206.45944213867188,193.50242614746094,129.5701904296875,179.93673765786602,168.42052796387588,115.16209270436569,281,1,179.93673765786602,10000,0,5.624033451080322,245.85614132881165
12000,6,190.3783721923828,177.8772430419922,125.01124572753906,179.91886157921624,168.01470398818046,119.04157789237135,281,1,179.91886157921624,12000,0,5.663590431213379,294.1657500267029
