step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,218.79583740234375,208.3326416015625,104.63195037841797,216.3499589967558,205.33834811716318,110.11611156531501,281,1,216.3499589967558,2000,0,6.408207416534424,52.05628275871277
4000,2,203.22032165527344,192.65444946289062,105.65867614746094,195.81731314336702,185.87730964307684,99.40003668625585,281,1,195.81731314336702,4000,0,5.730183839797974,102.57059693336487
6000,3,220.33050537109375,208.08404541015625,122.46458435058594,190.22459702135404,179.68048636005443,105.44110514684928,281,1,190.22459702135404,6000,0,5.7734715938568115,153.36249804496765
8000,4,185.6394500732422,174.41470336914062,112.24752807617188,185.01034513317393,173.70841879522249,113.01926142465177,281,1,185.01034513317393,8000,0,5.772068738937378,202.9657576084137
10000,5,192.92083740234375,182.01736450195312,109.03474426269531,181.3571644304486,170.01451919935775,113.42645214800308,281,1,181.3571644304486,10000,0,5.727159738540649,252.65255546569824
12000,6,191.82339477539062,179.2415771484375,125.81814575195312,181.09845964424974,169.15106271764137,119.47396956474331,281,1,181.09845964424974,12000,0,5.952692985534668,302.47729873657227
