epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,376.458728242875,364.6656852993298,117.93042731531771,201.37559210139213,190.86101057203553,105.14581064183078,74.9793541431427
2,197.3540804335731,186.57086686148494,107.83213474961804,188.20233329937614,177.27725485932055,109.25078481221371,77.14740538597107
3,190.54765434453898,179.69538505990067,108.52269179275108,184.67816381660296,173.78024294736574,108.97920480906535,76.46919131278992
4,187.3655276416499,176.490942292207,108.74585499422432,180.65538771375478,169.88311671524596,107.72270840706585,72.02444410324097
5,185.3445829596543,174.50815144692032,108.3643136927527,179.89626586694513,169.07254467422155,108.23721048643263,73.05152297019958
6,183.9014874594307,173.12255400856282,107.78933414831603,179.2471575016598,168.37602110389327,108.71136222125816,70.53949046134949
7,182.75496185206637,172.025510677281,107.29451075943,178.00947139932097,167.36379258409679,106.45678625861518,75.05929589271545
8,181.84072149073387,171.16993175237178,106.7078979430411,177.18135605956152,166.83839504324274,103.42961062973352,69.93893814086914
9,181.05098483780188,170.43324851560743,106.17736166037261,177.1910022488601,166.65162598314902,105.39376319226601,73.87636351585388
10,180.47516472490852,169.92233824804995,105.52826413022898,176.35931594080205,165.8729048529975,104.86411448691389,70.9190411567688
11,179.95063509921795,169.45124920541727,104.99386005684754,175.7594931623061,165.4061334459044,103.53359599765257,73.05395531654358
12,179.58162572176886,169.13612847579154,104.45497244947728,175.4328057817418,165.23929799031868,101.93507589710703,71.73373126983643
13,179.09029839739196,168.68837414397026,104.01924361187329,175.61465190640456,165.2795445833275,103.35107416386226,73.38476824760437
14,178.76231347897865,168.4009977573218,103.61315503036766,175.6796075011329,165.40031334307554,102.79294481894952,71.52733969688416
15,178.49165813053077,168.16418256600912,103.27475712785193,176.06637729672218,165.68760675663572,103.78770658095105,72.47078490257263
16,178.11604300158763,167.81691832892056,102.9912472140183,175.04291572845239,164.74512514622091,102.97790746894671,74.05434584617615
17,177.83903410753257,167.56420936876194,102.74824773434095,175.2860257539818,165.17317361625837,101.12852254359842,72.54671716690063
18,177.60387889812296,167.34450972021241,102.59369188549816,174.60939371671608,164.50239283060856,101.07000917667965,73.47895932197571
19,177.30607653715242,167.0685921075695,102.37484388741834,174.50146616105553,164.52516522853495,99.7630116167686,72.18666005134583
20,177.10492793129094,166.88738877763632,102.17539039711345,174.52343203867082,164.42818999805039,100.95242331525405,74.26833415031433
