epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,414.47110937395666,394.3670969494173,20.104012836704264,216.57199818453344,209.99133684995363,6.5806615944388955,84.0628559589386
2,216.98665113359007,210.61833083152342,6.3683204837495335,205.52967850938975,198.8853212260514,6.644357234453984,81.3078179359436
3,208.06027452998262,201.60180508248504,6.4584695311532165,198.05997735990894,191.1681937896948,6.8917837100063295,82.5151584148407
4,202.8451752313021,196.34017554457748,6.504999778745843,194.6655248189144,188.16716541317726,6.498359325978396,81.67627429962158
5,198.660750114108,192.00606205674694,6.654688093182851,191.37589746928043,184.9012757445411,6.474621825938602,80.10226631164551
6,195.66425849615965,188.92167656023761,6.742581976462848,188.86495483178888,182.2532592059897,6.611695363367204,81.48957872390747
7,193.48951607934538,186.67650773446945,6.813008355815509,187.3331294162668,180.46334937665102,6.86978004133101,80.87854361534119
8,191.85024865854447,184.9708515532747,6.879397163185192,186.40899671925058,179.56629318127528,6.842703456501309,81.45301842689514
9,190.650522668781,183.71010418341496,6.940418369535171,186.31936642763426,179.68565516849216,6.633711083329839,81.52258062362671
10,189.54751742041654,182.57145097177414,6.976066362198226,184.85184599512772,178.08509203684415,6.766754023462749,78.99130749702454
11,188.71885061328388,181.68641810174788,7.032432637448467,184.00665305158216,177.15390508638012,6.852747753369722,81.39046335220337
12,187.95263159130266,180.9068721371409,7.04575938037318,183.57667283531572,176.82858490429336,6.748088034794485,80.5621874332428
13,187.23472470975491,180.14949590946392,7.085228845550839,182.89769385358412,175.82683804738437,7.070855623526539,78.99177598953247
14,186.78628094562046,179.676309157426,7.109971871850086,182.60068835800502,175.54183471460138,7.058853920415151,81.65063095092773
15,186.20274674265008,179.0765533721828,7.12619343052777,181.91669892235626,174.76285739596798,7.1538418042574,82.25200772285461
16,185.67520634440544,178.5349710784514,7.140235233349785,181.67007660351211,174.6932194661751,6.976857264264882,80.87043070793152
17,185.3201291680175,178.1563378941943,7.163791244865482,181.5189323425293,174.4900493210168,7.028882997499095,81.20526242256165
18,184.86053308923664,177.68847661054838,7.172056593017647,181.35874060761157,174.24474982392016,7.113991006672811,80.83513331413269
19,184.56853055760928,177.38597245587457,7.182558235583732,181.22504798285397,174.08350858070867,7.1415394278739,80.44826197624207
20,184.28507472564655,177.0793784446562,7.205696440365097,180.77332187899583,173.56329746383557,7.210024560955788,80.69370174407959
21,183.9160203680604,176.70449612197498,7.211524298852808,180.5667038787183,173.5391553700399,7.027548495814097,81.44679355621338
22,183.7154255676956,176.4932753013374,7.2221505355577555,181.44473115660304,174.2663208117588,7.1784104812059475,81.62488722801208
23,183.3919093397572,176.16189821614802,7.230011172730055,180.24395603756253,173.23929508126898,7.004661158692065,81.50390315055847
24,183.1674192963127,175.9220178477999,7.245401478972029,180.25647911236442,173.10138205658617,7.1550972358785945,82.27161192893982
25,182.87872492918495,175.63442891576082,7.244296287342712,179.78849556463229,172.42930152947955,7.359194198958308,82.17239737510681
26,182.75371651385638,175.488396216018,7.265320341167716,180.29959221709547,173.11637801575145,7.1832145023689,81.43643808364868
27,182.47508926837764,175.2039216213595,7.271167704075562,179.5753905207133,172.36564059909298,7.209749816990585,81.85218691825867
28,182.3247605914529,175.03901845337407,7.285742245329644,180.36001789998664,172.93453853250406,7.425479565592979,82.43890476226807
29,182.07918338887177,174.79394084400172,7.28524252041685,179.3707134878035,172.0375281409394,7.333185088720253,81.1211199760437
30,181.91522354764334,174.61048802673093,7.3047357070998356,179.7981332737765,172.62935075828497,7.16878231566587,82.18690609931946
