epoch,train_loss,train_recon,train_kl,train_offdiag_pen,val_loss,val_recon,val_kl,val_offdiag_pen,epoch_seconds
1,178.3026125380653,168.315251764391,9.98736098731792,0.0,178.41576196135378,168.6646259774407,9.751136228334989,0.0,95.2698142528534
2,177.53594974135152,167.65410202513715,9.881847867652526,0.0,178.5402853986342,168.69945361459855,9.840832034460933,0.0,93.61595869064331
3,177.344723041241,167.5030018218294,9.841721397876954,0.0,178.29042843605976,168.55409205045632,9.73633676552944,0.0,93.61815786361694
4,177.23175521074947,167.42038680474286,9.81136860570766,0.0,178.22141872378563,168.5073574258269,9.71406101151336,0.0,93.60753226280212
5,177.07501347001693,167.29069230752756,9.784321312640522,0.0,178.39058314810555,168.66946627939348,9.72111695533176,0.0,93.90909242630005
6,176.9703106110127,167.20867212924452,9.761638890822836,0.0,178.00794362678803,168.39322470246458,9.614719480919323,0.0,94.25980401039124
7,176.86877556722334,167.1277116577313,9.741064107262547,0.0,177.8879105821788,168.28290426130775,9.605006664776974,0.0,94.08950471878052
8,176.76477028816282,167.04710473297845,9.717665772260013,0.0,178.02132347161822,168.45421726583578,9.567106169762372,0.0,93.26528596878052
9,176.64573857508637,166.95584433174218,9.689894294395566,0.0,177.98708510913437,168.4319689634035,9.555116267513029,0.0,94.58223056793213
10,176.5034930614861,166.86595877279743,9.63753459542601,0.0,178.03321152282277,168.52643244901148,9.506779543787456,0.0,94.27611064910889
11,176.3930922425442,166.80211010313872,9.590982174798276,0.0,177.97524958548786,168.3257486905983,9.649501174473935,0.0,93.20942831039429
12,176.26218796977577,166.69399725141366,9.568190810597807,0.0,177.68065399060146,168.0907093020652,9.589944660234794,0.0,93.45588874816895
13,176.15948815116246,166.60217745047777,9.557310827240663,0.0,177.79834590884423,168.21271105978985,9.585635248705637,0.0,94.05875539779663
14,176.06075974986513,166.51351266329857,9.547247362630195,0.0,177.72343052376945,168.19097164895038,9.532459138108672,0.0,94.2468729019165
15,176.04050522777234,166.49960523460342,9.540900179785327,0.0,177.67154957064622,168.15782739104128,9.513722263651786,0.0,94.19711947441101
16,175.9258780331425,166.39327141147876,9.532606827799823,0.0,177.60260262249184,168.03056508345568,9.57203765481496,0.0,94.20066499710083
17,175.8492177327474,166.32298187516693,9.526235992072994,0.0,177.42405379590372,168.0990256165429,9.325028379186453,0.0,94.25648999214172
18,175.79301235732655,166.25717672398645,9.535835754962532,0.0,177.36294168705564,168.02446584907366,9.338476425452198,0.0,94.28324341773987
19,175.68900654286992,166.16383357697975,9.52517311303829,0.0,177.4153060913086,167.94304580139598,9.472260686991026,0.0,93.55489087104797
20,175.62843576723856,166.10074031004433,9.527695575170135,0.0,177.34022475318085,167.91391356214345,9.426311429455984,0.0,93.71102857589722
21,175.55442853988532,166.0286814783588,9.525747206529624,0.0,177.48227112584834,168.0264411212729,9.455830020012616,0.0,94.9304986000061
22,175.48158190714793,165.95552645059948,9.52605571974198,0.0,177.63149983248266,168.15817963305136,9.473320424127921,0.0,93.31402039527893
23,175.43556577860102,165.90744298608035,9.528122735034223,0.0,177.2320750668752,167.7536682568008,9.478406980740939,0.0,95.76122665405273
24,175.35690074925802,165.83122562986745,9.525675455085661,0.0,177.20089620137387,167.83780521969143,9.363091080308818,0.0,94.29482579231262
25,175.27138801056472,165.74591338328827,9.525474840491086,0.0,177.34340077681506,167.82000205499662,9.523399106890178,0.0,94.22209763526917
26,175.21177539490816,165.6795122607356,9.532263414955224,0.0,177.17115660194014,167.83201629309346,9.339140568705771,0.0,92.68065595626831
27,175.1427099422673,165.61137961912306,9.531330661842322,0.0,177.20942150088524,167.7643679886413,9.445053432485183,0.0,94.29014897346497
28,175.09384921301714,165.55336094631895,9.540488464039722,0.0,177.32302200536932,167.7036717366829,9.619350460793475,0.0,94.90069055557251
29,175.0418795278037,165.50203806765165,9.53984175423379,0.0,177.10745392943457,167.6980088597579,9.40944529694619,0.0,94.48140096664429
30,174.9732102545542,165.42922443727946,9.543986160262877,0.0,177.27749803941026,167.6481320497801,9.629366144859533,0.0,93.9380853176117
