step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,211.94163513183594,201.60006713867188,103.41561126708984,213.14833728613803,201.49302333953966,116.55313585491791,281,1,213.14833728613803,2000,0,6.321385383605957,50.40222454071045
4000,2,195.57070922851562,184.6930389404297,108.77664184570312,189.3689649588697,179.09042800957621,102.78536417136412,281,1,189.3689649588697,4000,0,5.978187084197998,101.75898861885071
6000,3,217.26039123535156,205.0789794921875,121.81413269042969,185.1318146783686,174.073792807148,110.58021721890813,281,1,185.1318146783686,6000,0,5.662113428115845,151.71022772789001
8000,4,183.1510467529297,171.8446044921875,113.064453125,181.2219689528713,169.90472086298934,113.17248646474818,281,1,181.2219689528713,8000,0,6.044834852218628,201.36366415023804
10000,5,194.06031799316406,183.48451232910156,105.75807189941406,180.33517985496655,168.94469962340656,113.90480122956517,281,1,180.33517985496655,10000,0,5.938789367675781,251.6206030845642
12000,6,190.61721801757812,178.0616455078125,125.55575561523438,179.40765535619335,167.5592240574521,118.48431002796757,281,1,179.40765535619335,12000,0,5.854480504989624,301.51576232910156
