step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,218.42422485351562,208.17752075195312,102.46710205078125,207.57877252110382,197.1256262076707,104.53146462762908,281,1,207.57877252110382,2000,0,5.94462513923645,49.37620568275452
4000,2,207.3153839111328,196.23175048828125,110.83634948730469,191.28717524301115,180.97165291674196,103.15522684660671,281,1,191.28717524301115,4000,0,5.671764612197876,98.0333776473999
6000,3,209.0170135498047,197.84274291992188,111.74275207519531,188.21778296745543,177.39595395559942,108.21829199197029,281,1,188.21778296745543,6000,0,5.9774010181427,147.67537665367126
8000,4,177.19935607910156,166.35704040527344,108.42314147949219,182.90108753353675,171.54514679280888,113.5594062126404,281,1,182.90108753353675,8000,0,5.740082502365112,197.1865439414978
10000,5,206.9235076904297,193.7589569091797,131.64553833007812,181.28999673429334,169.65881363946772,116.31183328323092,281,1,181.28999673429334,10000,0,5.9558210372924805,244.90403127670288
12000,6,191.43051147460938,178.95379638671875,124.76719665527344,180.41575364625328,168.50633484103926,119.09418191604342,281,1,180.41575364625328,12000,0,5.878820419311523,293.17489790916443
