step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,212.8963623046875,202.6495361328125,102.46827697753906,202.32177859269004,191.78114674524056,105.40631692689509,281,1,202.32177859269004,2000,0,7.217381477355957,51.84831357002258
4000,2,203.63693237304688,192.55947875976562,110.77459716796875,189.43045377901015,178.78645683098517,106.43997227678943,281,1,189.43045377901015,4000,0,5.771159648895264,101.77946257591248
6000,3,209.76275634765625,199.15560913085938,106.07148742675781,185.09453354696362,174.54323013142758,105.51303320507986,281,1,185.09453354696362,6000,0,5.869426965713501,150.74011158943176
8000,4,175.71446228027344,164.9586181640625,107.55839538574219,181.64146149116056,170.64871536200582,109.927461155793,281,1,181.64146149116056,8000,0,5.780027389526367,198.88920855522156
10000,5,206.8550262451172,193.66412353515625,131.9090576171875,180.38745660204904,168.85629177432892,115.31164501909683,281,1,180.38745660204904,10000,0,5.647822380065918,248.5157868862152
12000,6,190.0651397705078,177.80426025390625,122.60882568359375,179.62090657190072,167.84088351972588,117.80022848543324,281,1,179.62090657190072,12000,0,5.638268232345581,298.43863344192505
