step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,226.69097900390625,215.78179931640625,109.09185791015625,203.90882751356241,193.59549232564362,103.13335253080864,281,1,203.90882751356241,2000,0,6.46915340423584,52.196231842041016
4000,2,193.79856872558594,183.70523071289062,100.93331146240234,190.55858495311804,179.90397866680104,106.54606576831316,281,1,190.55858495311804,4000,0,5.982351064682007,102.87579727172852
6000,3,201.47186279296875,189.3310546875,121.40814208984375,185.6037946001915,174.42969347319143,111.7410073602751,281,1,185.6037946001915,6000,0,5.850966215133667,153.0704460144043
8000,4,200.90847778320312,189.0367431640625,118.71728515625,183.18845704102432,171.7747605890566,114.1369611529693,281,1,183.18845704102432,8000,0,5.960378646850586,204.23799085617065
10000,5,184.4908905029297,173.27783203125,112.13059997558594,181.29412369371732,169.55038821400274,117.43735813670311,281,1,181.29412369371732,10000,0,5.582326650619507,252.8222894668579
12000,6,164.7183837890625,153.9154815673828,108.02906799316406,179.62312922358936,168.0446102644625,115.78518880389339,281,1,179.62312922358936,12000,0,5.67803168296814,304.11317801475525
