step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,224.81866455078125,214.6146240234375,102.04033660888672,201.47476978234124,191.65256980814544,98.22199862877245,281,1,201.47476978234124,2000,0,6.583263158798218,54.35107445716858
4000,2,193.00497436523438,183.306884765625,96.98094940185547,190.60682919865403,180.41720654362038,101.89622557290508,281,1,190.60682919865403,4000,0,5.925457715988159,107.60982155799866
6000,3,202.04165649414062,190.78701782226562,112.54644775390625,186.43092628560456,175.83574665653325,105.95179490601889,281,1,186.43092628560456,6000,0,6.525190114974976,161.85953617095947
8000,4,199.9657745361328,188.28123474121094,116.84544372558594,183.10926001606464,172.53249435153296,105.76765797570931,281,1,183.10926001606464,8000,0,6.109408855438232,214.6640944480896
10000,5,183.64083862304688,173.0356903076172,106.051513671875,182.60221957821014,171.36083099256632,112.41388868012886,281,1,182.60221957821014,10000,0,5.596413612365723,266.5645134449005
12000,6,165.1213836669922,154.92498779296875,101.96392822265625,179.77278701945133,168.61073181043741,111.62055037963432,281,1,179.77278701945133,12000,0,5.99826192855835,318.9941403865814
