step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,212.04759216308594,202.7436065673828,93.03985595703125,210.5400820966293,200.50509570247337,100.34986684670228,281,1,210.5400820966293,2000,0,6.461833477020264,52.68373918533325
4000,2,198.58157348632812,188.5508270263672,100.30738830566406,191.95213570374187,182.4765714326363,94.75564078334388,281,1,191.95213570374187,4000,0,5.838461875915527,105.23354029655457
6000,3,216.98463439941406,205.42486572265625,115.5976791381836,186.03322498145053,176.0240291446129,100.09195747239734,281,1,186.03322498145053,6000,0,5.53729510307312,156.94630980491638
8000,4,183.79603576660156,173.38848876953125,104.07545471191406,182.88764885736106,172.5144992163173,103.73149584026947,281,1,182.88764885736106,8000,0,5.847351312637329,208.6358904838562
10000,5,189.44381713867188,179.51258850097656,99.31233215332031,180.7002221104089,169.96569544564787,107.34526477420033,281,1,180.7002221104089,10000,0,5.749164581298828,261.18153381347656
12000,6,190.43092346191406,178.69493103027344,117.35986328125,181.45577402895455,170.28982204559435,111.65952024086515,281,0,180.7002221104089,10000,1,6.090580940246582,313.84342551231384
