step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,217.3724822998047,208.28717041015625,90.85307312011719,205.19206826966854,196.24199882860285,89.50069476361801,281,1,205.19206826966854,2000,0,6.4587061405181885,59.58879804611206
4000,2,213.61813354492188,204.63995361328125,89.78175354003906,196.9063494807885,188.25310939910997,86.53239799309456,281,1,196.9063494807885,4000,0,6.128563642501831,116.24958968162537
6000,3,215.517822265625,206.9327392578125,85.85084533691406,199.25366031741757,190.50846593999353,87.45194173792503,281,0,196.9063494807885,4000,1,6.01725697517395,174.48464965820312
8000,4,182.5468292236328,173.64599609375,89.00836181640625,188.55827127911442,179.61217691550476,89.46094548235584,281,1,188.55827127911442,8000,0,6.127146482467651,232.53122282028198
10000,5,212.00425720214844,201.14263916015625,108.61616516113281,186.49415553082775,176.81103176239122,96.83124360325498,281,1,186.49415553082775,10000,0,5.95418643951416,290.6714298725128
12000,6,193.82525634765625,182.96995544433594,108.55308532714844,182.7255089919338,172.5617146882298,101.63794406877294,281,1,182.7255089919338,12000,0,6.397733211517334,348.85530042648315
