step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,216.62371826171875,207.21820068359375,94.05510711669922,203.30114501735918,193.19658897101243,101.04556290704585,281,1,203.30114501735918,2000,0,6.50894021987915,54.08177423477173
4000,2,209.5581817626953,199.00079345703125,105.5738525390625,193.31856517859626,183.24040083698532,100.78164814036087,281,1,193.31856517859626,4000,0,6.068364381790161,107.02537941932678
6000,3,216.404052734375,205.56777954101562,108.36275482177734,191.23974294424906,180.46960973230546,107.7013357848035,281,1,191.23974294424906,6000,0,5.8511669635772705,159.39245223999023
8000,4,177.84425354003906,167.79513549804688,100.49111938476562,184.07893887448566,173.76215886560624,103.16779968153115,281,1,184.07893887448566,8000,0,6.075668096542358,211.59042811393738
10000,5,209.69410705566406,196.9838409423828,127.1026611328125,183.25050812853613,172.37950096266127,108.7100743466849,281,1,183.25050812853613,10000,0,6.262706279754639,264.4007737636566
12000,6,193.35855102539062,181.24746704101562,121.11077880859375,182.16898603880531,170.87280216420672,112.96184105380999,281,1,182.16898603880531,12000,0,6.449173927307129,317.3670904636383
