step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,224.24159240722656,212.8873291015625,113.54267120361328,200.53666165715012,189.9607957181557,105.75865691921464,281,1,200.53666165715012,2000,0,6.408369302749634,49.769354581832886
4000,2,193.72940063476562,183.69358825683594,100.35816955566406,189.93786412032048,179.34754370964293,105.90320418822807,281,1,189.93786412032048,4000,0,5.696875095367432,97.78268957138062
6000,3,200.8256072998047,188.6400604248047,121.85548400878906,184.6328988397673,173.32961392657188,113.03284937631193,281,1,184.6328988397673,6000,0,6.200608491897583,146.45543551445007
8000,4,198.91429138183594,187.17929077148438,117.35001373291016,182.0898285183618,170.8807473233586,112.09081080969543,281,1,182.0898285183618,8000,0,5.930639028549194,194.76024270057678
10000,5,183.82537841796875,172.58782958984375,112.37541198730469,180.16289973683203,168.54699712461425,116.15901770540827,281,1,180.16289973683203,10000,0,5.65382194519043,242.9112992286682
12000,6,163.93939208984375,153.51400756835938,104.25386047363281,178.90790123447405,167.37660391050724,115.31297391843965,281,1,178.90790123447405,12000,0,6.645345211029053,292.97188329696655
