run_name,test_diag_mae,test_offdiag_mean_abs_corr,test_kl_moment_to_std_normal,test_w2_moment_to_std_normal,ood_diag_mae,ood_offdiag_mean_abs_corr,ood_kl_moment_to_std_normal,ood_w2_moment_to_std_normal,prior_test_realism_composite,prior_ood_realism_composite,test_max_var_global,ood_max_var_global
lsv_stage2_vae_base_ld64_b0p1_s42_logvfixv2,0.693236655871668,0.18807601824613432,17.587730861035773,28.048109615912725,0.103020679504878,0.02091040643538319,0.7380810134451097,0.9163071958692597,2.1688771336552692,2.4005927598948906,2886.946463844775,827.4853626522694
lsv_stage2_vae_base_ld64_b0p1_s43_logvfixv2,0.03892507673200746,0.0013097255259957087,0.1227100824471945,0.20904533551998114,0.03842421517029307,0.0012227413856149125,0.12180711342729955,0.20819210508032596,1.8774660250158965,2.125047446859654,20.94433512074126,14.043550857116797
lsv_stage2_vae_base_ld64_b0p1_s44_logvfixv2,0.3748136286867833,0.18968818289596132,9.004877635675548,13.209208022278693,0.02683676555809847,0.013004933847611365,0.25621525227392206,0.35643593047059763,1.7534477213046817,2.0372205112854735,2980.9579870417283,643.8430017481415
lsv_stage2_vae_base_ld64_b0p1_s45_logvfixv2,0.2819092294134852,0.1019174640773494,6.286849177166167,9.265127966121696,0.04445966719667667,0.0052613075649741775,0.20816621988425288,0.3313162435335001,2.256574399005726,2.509661359486773,1380.6010135955817,176.29071099952577
lsv_stage2_vae_base_ld64_b0p1_s46_logvfixv2,0.4852414101784147,0.156066449379784,10.001316133922739,14.397850299654905,0.01748876661295442,0.008288040152337634,0.25579295408756353,0.42053001049587374,1.7730141498196261,2.0226008275180174,2972.4472559359347,70.440499277251
lsv_stage2_vae_base_ld64_b0p1_s47_logvfixv2,0.5587384588556012,0.17582915155401108,11.397769249290942,16.964337471841695,0.029016903840398324,0.0199959958577553,0.4008829668473723,0.4980107368995343,1.9853237798102294,2.25343964464559,2980.912501579627,340.16979338150145
lsv_stage2_vae_base_ld64_b0p1_s48_logvfixv2,0.15348340166334112,0.050402042402580366,2.387663699017881,3.2095516531618347,0.031110786746593438,0.004304157731669832,0.1668114426448689,0.2799426419938505,2.00876389401517,2.263103739513525,2876.349595063045,34.301551359032175
lsv_stage2_vae_base_ld64_b0p1_s49_logvfixv2,0.28237039379043977,0.12739603526105261,7.625745848095468,11.406823181172076,0.01878723867645736,0.0092948762002828,0.20948191053031506,0.3040396397508471,1.6712348768329846,1.8999671552321888,2978.462997971249,120.88940249284889
lsv_stage2_vae_base_ld64_b0p1_s50_logvfixv2,0.3007339516360001,0.13250111264968303,8.099521549073255,12.23103053770828,0.018544342379972933,0.008570314727204988,0.22444778926400316,0.3360186308104969,1.8049347943205527,2.063160667255735,340.75748472068005,64.35013716279036
lsv_stage2_vae_base_ld64_b0p1_s51_logvfixv2,0.28673792787951324,0.14400505761311272,7.303701844433958,10.878202172564393,0.028022821154646337,0.019758242857500344,0.6008781899940002,0.8313271944110507,1.4734048932703407,1.7248900904065696,2886.0710768609633,66.85232205235233
