event_id,count,primary_signed_mean_raw,primary_signed_mean_z,primary_fullcov_wins,primary_baseline_wins,mr_lsd_signed,dtw_signed,lsd_signed,ssim_signed,s_corr_signed,sc_signed,arias_err_signed,env_corr_signed,xcorr_signed
OOD_POST_08,6,86.29973737367057,-0.11276180303277664,3,1,0.13654096201298863,345.0596912353633,0.021568854649861652,-0.018851557343835822,-0.006902582325888029,-0.019547872245311737,-0.21687303042125705,-0.0006275297788665054,-0.0018983380748593542
OOD_POST_10,6,-134.2122663758051,-0.12100460601277857,2,2,0.18397662646390547,-537.1153101252027,0.10449429353078206,-0.022226298012492023,-0.007643734856208635,-0.021049506962299347,-0.18351836069231978,-0.032660050831091525,-0.004453193217276987
OOD_POST_07,6,7.257679274382521,-0.12706518105341685,2,2,0.08907028390394693,29.027634376502146,-0.07482502857844035,-0.011162534297569601,-0.007838801271738952,-0.018898814916610718,-0.1737429671233731,0.012646866395592407,-0.00910253334661657
OOD_POST_02,6,-75.31895639740003,-0.1306007397336986,2,2,0.13798485349515044,-301.43186045213474,0.035838147004445396,-0.017788137964946594,-0.005235483353967192,-0.012068070471286774,0.09482592034214311,-0.006328228048509031,0.0032129347790841637
OOD_POST_04,5,261.2777638262568,0.3419306401015397,3,1,0.22050051442460883,1044.6086532253144,0.29386732578277586,-0.011965760494512168,-0.00603763568371658,-0.011976578831672668,-0.24659781929845453,-0.012014747927050807,0.010422008549378253
OOD_POST_01,5,368.69280155731394,0.13411032059658895,3,1,0.18949341630629948,1474.4850337742555,0.11337385177612305,-0.016694813082092842,-0.006603972069359076,-0.012519797682762146,-0.04763914618993774,-0.07058409324478498,-0.00878749585205662
OOD_POST_03,5,-39.36052891473832,0.10889875195031398,2,2,0.18875385798053523,-157.7621493483714,0.1435917377471924,-0.012311906309618658,-0.01011397874798985,-0.022474122047424317,-0.12677568929263477,-0.03673502298406324,0.004382324518778185
OOD_POST_09,5,12.718469957287827,-0.2617169539572092,2,2,0.06023641789870053,50.938128867904176,-0.10880613327026367,-0.015679323381305288,-0.005726831020724132,-0.017581221461296082,-0.061378060618195805,0.02669910244167283,0.003734335138997638
OOD_POST_06,4,537.7288312016913,0.029822626731883795,2,2,0.12253523600963095,2150.8741584748423,-0.0675680935382843,-0.01380081054858287,-0.005164858487057528,-0.013332009315490723,-0.07964947538699355,-0.011544129181803225,0.009414283709471942
OOD_POST_05,4,1330.31766483966,-0.04649161034773541,2,2,0.03922491583363319,5321.478072794981,-0.22710347175598145,-0.019534880419479442,-0.007309675003486005,-0.02216993272304535,-0.20654641990095274,0.01611488342713624,-0.03974808898644997
