step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,213.44235229492188,203.09490966796875,103.47450256347656,211.0886960827159,199.45838754457088,116.30309200626252,281,1,211.0886960827159,2000,0,6.216365575790405,48.99540948867798
4000,2,196.23583984375,185.15744018554688,110.78399658203125,189.23235701157105,178.83324402507088,103.99113277014465,281,1,189.23235701157105,4000,0,5.579953670501709,97.95447111129761
6000,3,216.93162536621094,204.83714294433594,120.94486999511719,185.21964402385453,174.04239488920706,111.77248890289633,281,1,185.21964402385453,6000,0,5.865721940994263,146.64811420440674
8000,4,183.25082397460938,171.82139587402344,114.29420471191406,181.58364110654784,170.1668656372939,114.16775738047535,281,1,181.58364110654784,8000,0,5.589261770248413,194.84425830841064
10000,5,193.7161865234375,183.05731201171875,106.58866882324219,180.56081368660162,168.9739970957257,115.86816129311124,281,1,180.56081368660162,10000,0,5.756836652755737,242.53781127929688
12000,6,190.4081268310547,177.81764221191406,125.90484619140625,179.15132904052734,167.43858489447217,117.1274391255769,281,1,179.15132904052734,12000,0,5.563560724258423,290.1264796257019
