event_id,date,time,lat,lon,depth_km,xM,station,station_lat,station_lon,distance_km,azimuth_deg
OOD_POST_07,2024.01.27,03:17:35,40.5159,28.8116,10.0,3.0,YLV,40.5658,29.3708,47.696251376305426,83.14688145631729
OOD_POST_07,2024.01.27,03:17:35,40.5159,28.8116,10.0,3.0,GEML,40.4646,29.2116,34.38710905074568,99.40565273064692
OOD_POST_07,2024.01.27,03:17:35,40.5159,28.8116,10.0,3.0,GELI,40.398,26.4742,198.6886689257015,266.98096156417307
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,ADVT,40.4332,29.7383,235.03359901674673,85.4116912032643
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,ARMT,40.5683,28.866,163.11040279667012,78.73713909789579
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,KCTX,40.2626,28.3353,115.5941078204553,91.44338749893707
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,YLV,40.5658,29.3708,205.3185463394631,80.85981765283657
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,GEML,40.4646,29.2116,190.68145818695675,83.66916135361153
OOD_POST_08,2024.02.27,13:09:54,40.2968,26.9768,12.031,4.2,GELI,40.398,26.4742,44.154489884658894,284.90662531551385
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,ADVT,40.4332,29.7383,128.30634380928325,108.97585946790996
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,ARMT,40.5683,28.866,54.678456997513784,120.26322109134048
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,KCTX,40.2626,28.3353,61.69461827208745,177.86645667687395
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,YLV,40.5658,29.3708,94.06688139392047,106.9599930483779
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,GEML,40.4646,29.2116,85.88782394176728,116.87707377637103
OOD_POST_09,2024.05.26,21:38:19,40.8178,28.3083,15.105,3.3,GELI,40.398,26.4742,162.06846604299676,253.88203176032218
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,ADVT,40.4332,29.7383,302.8642637485634,89.38564035532181
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,ARMT,40.5683,28.866,228.95226332277431,86.08830850876856
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,KCTX,40.2626,28.3353,185.3630580140703,96.05740286982265
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,YLV,40.5658,29.3708,271.67050514767845,86.46075578584743
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,GEML,40.4646,29.2116,258.116235802638,88.87683928455098
OOD_POST_10,2024.12.12,11:34:52,40.4591,26.1682,10.0,4.2,GELI,40.398,26.4742,26.838168531286037,104.54406836227022
