step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,280.38958740234375,272.4920654296875,78.97525024414062,270.60672844177464,262.53824639914296,80.68481920452729,281,1,270.60672844177464,2000,0,6.605400562286377,52.275219678878784
4000,2,235.71566772460938,225.77548217773438,99.40180206298828,216.70760331883548,207.63980580394377,90.67797493171012,281,1,216.70760331883548,4000,0,5.816405296325684,101.55253195762634
6000,3,223.03684997558594,212.74606323242188,102.90782165527344,195.9048543366673,185.6736727948715,102.31181338164306,281,1,195.9048543366673,6000,0,5.8635945320129395,150.2039086818695
8000,4,180.74465942382812,170.2557373046875,104.88923645019531,187.19734227190662,176.03809845405118,111.59243687531279,281,1,187.19734227190662,8000,0,5.7452874183654785,198.48194074630737
10000,5,211.62518310546875,198.52432250976562,131.00856018066406,183.92975415538638,172.30298492323038,116.26769313608624,281,1,183.92975415538638,10000,0,5.982395648956299,248.35404682159424
12000,6,193.86932373046875,181.51547241210938,123.53856658935547,182.66056226411325,170.57638739860778,120.8417471889075,281,1,182.66056226411325,12000,0,5.964323043823242,298.67862701416016
