step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,214.83229064941406,204.74331665039062,100.88967895507812,215.50952965678692,204.50543696176115,110.04092806344354,281,1,215.50952965678692,2000,0,6.878936529159546,51.8227915763855
4000,2,199.35626220703125,188.31170654296875,110.44551086425781,192.1310531779116,181.95157577134538,101.79477531460256,281,1,192.1310531779116,4000,0,6.606480598449707,104.0633955001831
6000,3,217.2316436767578,205.3596954345703,118.71942138671875,187.20842878674273,176.40869672782057,107.99731651659114,281,1,187.20842878674273,6000,0,5.780829429626465,153.41641449928284
8000,4,184.3389434814453,173.15707397460938,111.81871795654297,183.07853837199906,171.80400614891187,112.74532611344632,281,1,183.07853837199906,8000,0,5.548414945602417,201.19959092140198
10000,5,192.8169708251953,182.32546997070312,104.91500854492188,180.43869420387566,169.1815579234493,112.57135949185735,281,1,180.43869420387566,10000,0,5.757852077484131,248.07465028762817
12000,6,191.12986755371094,178.7928924560547,123.36973571777344,179.86471693371539,168.08691221624082,117.77804633306863,281,1,179.86471693371539,12000,0,5.913095235824585,296.6127882003784
