step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,285.4508972167969,276.29180908203125,91.59092712402344,282.0201279718257,273.72047152807704,82.99655781267377,281,1,282.0201279718257,2000,0,6.467898607254028,49.83328819274902
4000,2,222.54920959472656,213.66015625,88.89054107666016,217.46685628110404,208.1335953138901,93.33260758152211,281,1,217.46685628110404,4000,0,6.0404698848724365,97.86419486999512
6000,3,212.4550323486328,201.52992248535156,109.25106811523438,198.6613521372296,188.77065144060344,98.90700416972204,281,1,198.6613521372296,6000,0,6.008888244628906,146.92290806770325
8000,4,205.0288848876953,193.81309509277344,112.15789794921875,189.2270662029443,178.65368473148007,105.73381694101354,281,1,189.2270662029443,8000,0,5.663160085678101,194.98819231987
10000,5,187.9935302734375,176.97824096679688,110.15296936035156,185.62670629643884,174.22675198592324,113.99954245353508,281,1,185.62670629643884,10000,0,5.95848536491394,243.83781838417053
12000,6,168.508056640625,157.82351684570312,106.84541320800781,183.01888413615922,171.37625637936847,116.4262749071223,281,1,183.01888413615922,12000,0,6.108964204788208,292.6134765148163
