step,epoch,train_loss_step,train_recon_step,train_kl_step,val_loss,val_recon,val_kl,val_steps,improved,best_val_so_far,best_step_so_far,bad_evals,eval_seconds,elapsed_seconds
2000,1,215.6978759765625,207.3712615966797,83.26622009277344,211.74009897361023,202.6768950329981,90.63203636522395,281,1,211.74009897361023,2000,0,6.434835433959961,58.43383288383484
4000,2,212.3318328857422,203.69151306152344,86.40323638916016,205.10865411724484,196.51780176671798,85.90852228347941,281,1,205.10865411724484,4000,0,5.7214624881744385,115.70231199264526
6000,3,228.68148803710938,219.51495361328125,91.66534423828125,197.1682074333001,189.15525090227771,80.12956452284844,281,1,197.1682074333001,6000,0,5.772589445114136,172.6237235069275
8000,4,190.47103881835938,181.9442596435547,85.267822265625,191.3042942196449,183.03540180247026,82.68892490481991,281,1,191.3042942196449,8000,0,5.60881495475769,229.80426716804504
10000,5,194.94078063964844,187.42010498046875,75.20674896240234,187.52032161183203,179.23074310954354,82.89578621752321,281,1,187.52032161183203,10000,0,5.730374336242676,288.3620676994324
12000,6,196.19793701171875,186.68991088867188,95.0802001953125,186.2769171012254,177.35555707178082,89.21359847533745,281,1,186.2769171012254,12000,0,5.692126274108887,345.0378432273865
